id,Sorular,A-??kk?,B-??kk?,C-??kk?,D-??kk?,E-??kk?,Do?ru Cevap1,Do?ru Cevap2,s
1,"12-16- ? -….-?-32 Ritmik saymada ""?”yerine hangi sayılar gelmelidir?",20-24,16-24,24-28,20-28,,D,,s
2,65 den başlayarak geriye doğru onar saydığımızda 4. saymada hangi sayıyı söyleriz?,35,25,20,45,,A,,s
3,72….......87 Yandaki ilk sayıdan başlayıp ikinci sayıya kadar üçer ritmik sayarsak kaç tane sayma yaparız?,4,5,6,7,8,C,,s
4,66 sayısı aşağıdaki onluklardan hangisine daha yak?nd?r?,40,50,60,70,80,D,,s
5,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,47,48,49,50,,C,,s
6,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,48,49,50,51,,C,,s
7,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,49,50,51,52,,C,,s
8,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,50,51,52,53,,C,,s
9,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,51,52,53,54,,C,,s
10,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,52,53,54,55,,C,,s
11,Aslının 37 tane cevizi vardır. Kenan Aslı’ya bir düzine ceviz verirse Aslı’nın kaç cevizi olur?,53,54,55,56,,C,,s